date,open,high,close,low,volume,amount
2017-04-10,21.3,21.4,20.73,19.72,16276885.0,335034203.0
2017-04-07,20.81,22.36,21.91,20.81,16794240.0,363177904.0
2017-04-06,21.0,21.26,20.81,20.65,6539154.0,136459130.0
2017-04-05,19.73,21.58,20.99,19.73,11240549.0,232882676.0
2017-03-31,19.9,19.96,19.68,19.61,2445588.0,48303931.0
2017-03-30,19.68,20.17,19.91,19.63,4718737.0,94188063.0
2017-03-29,19.8,19.94,19.67,19.56,2198751.0,43426697.0
2017-03-28,19.78,19.84,19.7,19.54,1876743.0,36835299.0
2017-03-27,19.91,20.27,19.76,19.64,3862545.0,76825278.0
2017-03-24,19.5,20.17,19.96,19.35,4793366.0,95479450.0
2017-03-23,19.88,20.16,19.5,19.28,5430164.0,106299833.0
2017-03-22,20.19,20.24,19.89,19.88,3615671.0,72342022.0
2017-03-21,20.47,20.55,20.34,20.18,2971591.0,60348085.0
2017-03-20,20.4,20.62,20.48,20.21,2520615.0,51401675.0
2017-03-17,20.6,20.78,20.42,20.32,3623077.0,74366891.0
2017-03-16,20.6,20.78,20.57,20.5,3708064.0,76276887.0
2017-03-15,20.8,20.87,20.58,20.57,2388430.0,49366299.0
2017-03-14,20.52,21.2,20.89,20.52,4186668.0,87700818.0
2017-03-13,20.92,20.99,20.78,20.0,7568944.0,155017774.0
2017-03-10,20.96,21.29,21.11,20.89,3250176.0,68548317.0
2017-03-09,21.17,21.19,20.93,20.84,2427215.0,50840522.0
2017-03-08,21.3,21.38,21.1,21.02,4026726.0,85037210.0
2017-03-07,21.88,21.94,21.41,21.3,5606287.0,120951727.0
2017-03-06,22.13,22.2,21.98,21.75,3871844.0,84745594.0
2017-03-03,21.79,22.44,21.94,21.68,4194699.0,92599354.0
2017-03-02,22.0,22.08,21.79,21.71,3391013.0,74002618.0
2017-03-01,21.61,22.48,22.08,21.61,8620758.0,190828562.0
2017-02-28,21.52,21.87,21.63,21.52,2600191.0,56304503.0
2017-02-27,21.82,21.93,21.53,21.5,4292561.0,93350221.0
2017-02-24,22.08,22.18,21.93,21.61,7911158.0,172559786.0
2017-02-23,20.99,22.82,22.22,20.89,16880386.0,370612629.0
2017-02-22,21.35,21.39,20.88,20.73,6707225.0,140480577.0
2017-02-21,21.7,21.7,21.33,21.22,5211192.0,111591019.0
2017-02-20,21.46,21.8,21.59,21.3,3908132.0,83988378.0
2017-02-17,22.17,22.26,21.59,21.42,8050785.0,175220396.0
2017-02-16,21.57,22.38,22.35,21.5,11072967.0,245046350.0
2017-02-15,21.5,22.29,21.78,21.3,13339303.0,293036242.0
2017-02-14,20.75,21.49,21.23,20.7,8283150.0,175539769.0
2017-02-13,20.38,20.98,20.79,20.27,5757038.0,119684602.0
2017-02-10,20.72,20.81,20.45,20.42,3839369.0,78871199.0
2017-02-09,20.52,20.82,20.67,20.42,4164009.0,86045500.0
2017-02-08,20.55,21.1,20.65,20.3,6768426.0,140145670.0
2017-02-07,19.97,21.2,20.89,19.68,11460650.0,233180518.0
2017-02-06,19.35,21.09,20.45,19.35,10363060.0,215015687.0
2017-02-03,19.13,19.28,19.17,18.81,827500.0,15804998.0
2017-01-26,19.3,19.37,19.19,19.09,1158702.0,22260273.0
2017-01-25,19.15,19.24,19.16,19.07,1052348.0,20143942.0
2017-01-24,19.29,19.44,19.11,19.01,1204809.0,23105358.0
2017-01-23,19.11,19.36,19.15,19.06,1159010.0,22259491.0
2017-01-20,18.63,19.2,19.12,18.56,2084631.0,39545271.0
2017-01-19,18.67,18.88,18.63,18.48,2174706.0,40680113.0
2017-01-18,18.65,18.99,18.65,18.48,1820436.0,34119307.0
2017-01-17,18.51,18.88,18.65,18.0,2311850.0,42821654.0
2017-01-16,19.95,19.95,18.47,17.96,5336519.0,101071778.0
2017-01-13,20.26,20.49,19.96,19.82,2866283.0,57889019.0
2017-01-12,20.05,20.83,20.4,20.05,5556181.0,113802918.0
2017-01-11,20.31,20.34,20.05,20.02,3599674.0,72665535.0
2017-01-10,20.22,20.45,20.2,20.06,3312056.0,67034743.0
2017-01-09,20.38,20.56,20.4,19.75,5470933.0,110424058.0
2017-01-06,20.0,20.5,20.19,19.97,7735322.0,157149690.0
2017-01-05,19.78,20.4,20.06,19.47,7614986.0,152173879.0
2017-01-04,19.44,19.96,19.77,19.39,4121604.0,81203779.0
2017-01-03,19.4,19.68,19.48,19.3,3029801.0,59059183.0
2016-12-30,19.6,19.99,19.35,19.31,5665723.0,110897732.0
