date,open,high,low,close,volume,adj Close
2000-09-22,75.9375,80.75,75.50,80.734383,58729400,37.792533
2000-09-21,79.4375,80.00,75.50,78.9375,27160000,36.951395
2000-09-20,79.00,80.625,77.50,79.9375,37352200,37.419505
2000-09-19,77.4375,79.75,76.125,79.3125,53198600,37.126936
2000-09-18,78.8125,80.00,74.75,76.468758,72997800,35.795753
2000-09-15,81.125,82.875,78.00,78.3125,122939600,36.658827
2000-09-14,86.375,86.625,82.25,84.9375,64170600,39.760052
2000-09-13,77.75,82.75,76.9375,81.8125,68132400,38.29721
2000-09-12,83.00,85.3125,79.0625,79.375,49606000,37.156193
2000-09-11,86.0625,86.75,82.375,83.4375,41459600,39.057888
2000-09-08,90.8125,90.875,86.50,86.5625,34569400,40.52073
2000-09-07,90.125,91.75,89.50,91.1875,28559000,42.685737
2000-09-06,91.375,91.75,89.0625,89.25,38473000,41.778775
2000-09-05,92.375,92.8125,90.5625,91.0625,25535800,42.627223
2000-09-01,92.203117,92.9375,90.875,92.625,30417800,43.358644
2000-08-31,88.4375,91.00,88.4375,90.9375,39840000,42.568709
2000-08-30,87.6875,88.8125,87.125,88.25,27073400,41.310665
2000-08-29,86.8125,89.265617,86.5625,87.75,37678600,41.07661
2000-08-28,85.00,87.9375,84.9375,86.75,25833600,40.608501
2000-08-25,84.6875,86.8125,84.50,84.625,26866600,39.613768
2000-08-24,82.875,85.0625,82.6875,84.6875,40413200,39.643025
2000-08-23,82.9375,83.125,81.00,82.875,25104800,38.794576
2000-08-22,82.875,84.1875,82.1875,83.5625,23251600,39.116402
2000-08-21,82.125,83.375,80.765617,83.1875,20295600,38.940861
2000-08-18,83.50,84.75,81.125,81.3125,31121200,38.063155
2000-08-17,80.875,84.0625,80.8125,83.9375,30085000,39.291943
2000-08-16,81.375,82.25,81.0625,81.1875,22698200,38.004642
2000-08-15,81.9375,83.5625,81.125,81.25,31208800,38.033898
2000-08-14,80.1875,82.5625,79.875,82.375,21862200,38.560522
2000-08-11,79.9375,81.9375,79.25,81.125,22106800,37.975385
2000-08-10,81.4375,82.375,80.00,80.0625,24436000,37.478018
2000-08-09,83.50,84.281242,81.1875,81.375,30846000,38.092412
2000-08-08,81.00,83.25,80.8125,83.00,34931800,38.85309
2000-08-07,80.875,82.375,80.75,81.875,40751400,38.326467
2000-08-04,78.3125,82.3125,78.125,81.5625,73211600,38.180183
2000-08-03,72.8125,77.50,71.625,77.4375,44941200,36.249231
2000-08-02,73.00,75.25,72.375,73.125,30315000,34.230509
2000-08-01,75.1875,75.875,72.875,73.125,30190800,34.230509
2000-07-31,71.75,75.50,71.375,75.1875,34406400,35.195984
2000-07-28,75.125,76.4375,71.0625,72.375,33203400,33.879426
2000-07-27,75.9375,78.00,75.00,75.0625,32539000,35.137471
2000-07-26,74.8125,78.00,74.0625,76.75,31826400,35.927406
2000-07-25,75.875,76.50,74.3125,76.00,27118200,35.576323
2000-07-24,77.125,78.625,74.9375,75.00,38060200,35.108214
2000-07-21,77.4375,77.6875,75.0625,75.4375,30925000,35.313012
2000-07-20,74.8125,79.00,74.75,78.125,35382000,36.571056
2000-07-19,75.00,75.9375,73.00,73.75,31558600,34.523077
2000-07-18,75.6875,76.625,74.0625,74.1875,29967000,34.727875
2000-07-17,75.3125,78.00,74.0625,76.125,32388800,35.634837
2000-07-14,76.1875,76.50,75.125,76.125,31712000,35.634837
2000-07-13,75.75,76.625,74.75,75.75,41625400,35.459296
2000-07-12,73.4375,75.125,73.00,74.6875,34368400,34.96193
2000-07-11,73.625,75.25,71.125,72.3125,42121400,33.85017
2000-07-10,74.625,75.50,72.875,74.125,43957600,34.698618
2000-07-07,75.9375,77.00,75.50,75.875,31480200,35.51781
2000-07-06,71.75,75.875,71.75,75.625,50533000,35.400782
2000-07-05,76.8125,77.625,72.1875,72.3125,94634200,33.85017
2000-07-03,81.125,81.75,78.875,80.1875,42136200,37.536532
2000-06-30,80.375,84.50,80.00,84.0625,38093000,39.350456
2000-06-29,82.0625,83.125,79.5625,80.875,35751800,37.858357
2000-06-28,82.0625,85.00,81.6875,82.9375,32104800,38.823833
2000-06-27,82.375,83.9375,81.6875,82.25,28581600,38.502008
2000-06-26,80.25,83.4375,79.25,82.6875,38942400,38.706806
2000-06-23,80.8125,81.484383,78.5625,79.50,40643000,37.214707
2000-06-22,84.625,85.25,81.375,81.50,42105600,38.150926
2000-06-21,80.8125,87.375,80.3125,86.1875,108053800,40.345189
2000-06-20,86.9375,87.625,84.50,86.046883,57192600,40.279365
2000-06-19,82.0625,86.0625,81.25,86.00,51077200,40.257419
2000-06-16,81.875,83.75,81.0625,81.875,41904400,38.326467
2000-06-15,79.25,82.625,79.125,82.50,36786800,38.619035
2000-06-14,81.875,82.00,78.75,79.00,33191800,36.980652
2000-06-13,79.984383,81.75,78.0625,81.6875,37229400,38.238696
2000-06-12,82.5625,82.8125,80.375,80.5625,24206000,37.712073
2000-06-09,82.875,83.75,81.875,82.6875,32975200,38.706806
